car_id,brand,model,year,mileage,fuel_type,transmission,sale_month,zip_prefix,price
210,VW,Model C,2015,103670.0,Petrol,Automatic,11,01,5125
211,Ford,Model B,2023,25815.0,Petrol,Manual,1,01,15895
212,VW,Model C,2024,8915.0,Petrol,Automatic,2,30,21353
213,Honda,Model C,2024,17408.0,Petrol,Automatic,12,01,18363
214,Hyundai,Model B,2017,116954.0,Petrol,Manual,2,20,4238
215,Honda,Model C,2025,12262.0,Diesel,Manual,2,01,17329
216,Fiat,Model C,2017,103338.0,Petrol,Automatic,12,01,2637
217,Honda,Model A,2020,30509.0,Diesel,Automatic,4,01,7811
218,Hyundai,Model C,2025,6650.0,Petrol,Manual,12,01,24492
219,Toyota,Model A,2024,37839.0,Diesel,Manual,5,30,17016
220,Honda,Model B,2025,0.0,Diesel,Automatic,5,01,24485
221,Hyundai,Model A,2024,22340.0,Petrol,Automatic,2,20,24673
222,Mercedes,Model B,2023,21609.0,Petrol,Automatic,12,01,18475
223,Ford,Model C,2009,179253.0,Petrol,Automatic,10,30,989
224,VW,Model A,2020,72016.0,Petrol,Automatic,3,01,12546
225,Hyundai,Model A,2018,109645.0,Petrol,Automatic,10,20,3551
226,Ford,Model A,2018,95628.0,Petrol,Automatic,2,01,8847
227,Honda,Model B,2025,0.0,Petrol,Automatic,7,30,28924
228,Audi,Model A,2021,33847.0,Petrol,Automatic,4,30,15188
229,Fiat,Model C,2025,2169.0,Petrol,Automatic,11,01,20674
230,Toyota,Model C,2024,25097.0,Hybrid,Manual,7,10,21981
231,Hyundai,Model A,2025,,Petrol,Automatic,12,20,22729
232,BMW,Model C,2022,31644.0,Petrol,Manual,8,01,18206
233,Audi,Model B,2023,66330.0,Petrol,Manual,7,01,18535
234,Toyota,Model A,2022,52179.0,Petrol,Automatic,9,01,22877
235,VW,Model A,2016,125251.0,Petrol,Automatic,10,01,1241
236,Toyota,Model C,2025,0.0,Petrol,Manual,1,30,26075
237,BMW,Model B,2019,61392.0,Petrol,Automatic,7,01,7193
238,Mercedes,Model A,2002,250000.0,Petrol,Automatic,10,20,500
239,Audi,Model A,2024,0.0,Petrol,Manual,6,10,19661
240,Mercedes,Model C,2015,144005.0,Petrol,Automatic,1,10,5923
241,Audi,Model B,2025,21154.0,Petrol,Manual,1,01,26715
242,Hyundai,Model B,2025,0.0,Petrol,Manual,10,20,18512
243,Toyota,Model C,2025,26758.0,Petrol,Automatic,3,01,24266
244,Toyota,Model C,2020,59936.0,Petrol,Automatic,3,30,9100
245,Dacia,Model B,2001,250000.0,Petrol,Automatic,4,01,697
246,Honda,Model B,2025,2170.0,Petrol,Manual,2,20,21469
247,Fiat,Model B,2021,56642.0,Petrol,Automatic,1,30,11244
248,Toyota,Model A,2025,20998.0,Diesel,Automatic,11,30,30173
249,Toyota,Model C,2025,19164.0,Petrol,Automatic,4,10,26452
250,Toyota,Model B,2025,7660.0,Hybrid,Automatic,8,10,25138
251,Honda,Model B,2019,69882.0,Petrol,Automatic,11,20,11175
252,Ford,Model B,2021,55711.0,Petrol,Automatic,12,10,10641
253,Audi,Model C,2025,0.0,Petrol,Automatic,9,10,28849
254,Hyundai,Model A,2020,62282.0,Petrol,Manual,12,20,5418
255,Honda,Model A,2015,103360.0,Petrol,Manual,6,10,4010
256,BMW,Model C,2023,0.0,Hybrid,Manual,10,20,20133
257,Ford,Model A,2025,756.0,Petrol,Automatic,12,10,26224
258,Hyundai,Model B,2024,30934.0,Petrol,Automatic,1,10,17513
259,Audi,Model B,2023,37887.0,Diesel,Manual,4,20,21095
260,BMW,Model B,2009,190771.0,Diesel,Automatic,10,30,500
261,Hyundai,Model A,2023,50204.0,Petrol,Automatic,4,10,17445
262,Dacia,Model A,2025,0.0,Petrol,Automatic,1,30,24312
263,BMW,Model C,2014,,Hybrid,Automatic,11,30,5361
264,Dacia,Model C,2022,3268.0,Petrol,Automatic,3,20,14826
265,Toyota,Model B,2025,0.0,Petrol,Automatic,5,20,23700
266,Dacia,Model C,2025,12249.0,Hybrid,Automatic,12,10,26660
267,Ford,Model C,2024,743.0,Diesel,Manual,3,20,25871
268,Fiat,Model A,2025,6914.0,Petrol,Automatic,12,20,20887
269,Hyundai,Model B,2020,84694.0,Petrol,Manual,6,30,9903
270,BMW,Model C,2019,55498.0,Diesel,Manual,12,01,10213
271,BMW,Model C,2025,7177.0,Petrol,Manual,11,30,24099
272,Honda,Model A,2025,8084.0,Petrol,Manual,6,30,26897
273,Mercedes,Model B,2025,0.0,Hybrid,Automatic,12,01,30446
274,Honda,Model A,2025,20313.0,Petrol,Manual,8,30,18172
275,Dacia,Model A,2022,31684.0,Diesel,Manual,6,10,8723
276,Toyota,Model B,2022,30243.0,Diesel,Automatic,7,10,18295
277,Honda,Model C,2025,31674.0,Diesel,Automatic,1,01,25436
278,Toyota,Model A,2024,19841.0,Hybrid,Automatic,11,30,29121
279,Ford,Model B,2025,13879.0,Petrol,Automatic,4,30,27104
280,Mercedes,Model A,2025,,Diesel,Manual,4,01,26537
281,Audi,Model C,2025,0.0,Diesel,Automatic,9,10,23116
282,Fiat,Model C,2020,78747.0,Hybrid,Automatic,5,30,12739
283,Hyundai,Model A,2020,52471.0,Diesel,Manual,7,30,11127
284,Hyundai,Model C,2009,183830.0,Diesel,Automatic,6,30,749
285,Hyundai,Model A,2023,19920.0,Petrol,Manual,7,30,16866
286,Honda,Model A,2003,250000.0,Petrol,Manual,3,01,500
287,VW,Model B,2022,48332.0,Petrol,Manual,12,01,12768
288,Toyota,Model B,2023,28008.0,Petrol,Manual,8,10,18545
289,Mercedes,Model A,2019,64631.0,Petrol,Manual,3,01,13580
290,Toyota,Model A,2023,34117.0,Petrol,Manual,2,30,17455
291,Mercedes,Model A,2003,250000.0,Hybrid,Automatic,7,30,1743
292,Toyota,Model A,2003,250000.0,Petrol,Automatic,6,30,500
293,Toyota,Model A,2025,730.0,Petrol,Automatic,12,30,24609
294,Ford,Model B,2020,66951.0,Diesel,Manual,3,01,8115
295,Toyota,Model A,2012,161847.0,Petrol,Manual,12,30,4534
296,VW,Model B,2022,30551.0,Petrol,Automatic,10,01,22985
297,Honda,Model C,2025,12706.0,Petrol,Manual,6,30,24949
298,Fiat,Model A,2017,92664.0,Petrol,Manual,11,10,8473
299,BMW,Model B,2024,2175.0,Hybrid,Manual,11,10,31557
300,VW,Model B,2008,181979.0,Diesel,Automatic,9,30,647
301,VW,Model C,2005,250000.0,Diesel,Automatic,2,30,500
302,Dacia,Model C,2022,36185.0,Diesel,Automatic,3,01,14297
303,Toyota,Model C,2023,27163.0,Petrol,Automatic,8,01,21353
304,Toyota,Model A,2024,27687.0,Diesel,Automatic,4,10,21952
305,Mercedes,Model A,2025,0.0,Diesel,Manual,7,20,26715
306,Audi,Model A,2025,0.0,Hybrid,Automatic,8,10,32933
307,Honda,Model C,2022,37046.0,Petrol,Automatic,8,01,16573
308,Hyundai,Model B,2020,64619.0,Petrol,Manual,8,20,5644
309,Toyota,Model B,2025,0.0,Petrol,Automatic,5,01,24131
310,Mercedes,Model C,2019,94106.0,Petrol,Manual,3,30,13791
311,Audi,Model A,2021,10707.0,Petrol,Manual,7,10,15808
312,Mercedes,Model B,2007,232800.0,Petrol,Manual,7,20,2883
313,Fiat,Model B,2002,250000.0,Petrol,Manual,4,10,500
314,Fiat,Model B,2025,6851.0,Petrol,Manual,1,20,20759
315,Toyota,Model B,2025,0.0,Petrol,Automatic,3,01,26643
316,Audi,Model A,2024,31258.0,Petrol,Automatic,7,30,22628
317,Fiat,Model A,2021,32603.0,Hybrid,Automatic,7,01,17469
318,BMW,Model A,2015,112384.0,Diesel,Automatic,2,01,500
319,Ford,Model B,2015,117441.0,Petrol,Automatic,8,20,500
320,Fiat,Model A,2018,90111.0,Diesel,Automatic,6,01,1791
321,Honda,Model B,2023,33591.0,Petrol,Manual,9,20,12659
322,BMW,Model A,2025,13392.0,Petrol,Manual,12,01,27416
323,Audi,Model B,2024,24237.0,Petrol,Automatic,4,30,27003
324,Fiat,Model C,2019,75793.0,Petrol,Automatic,5,01,8572
325,BMW,Model A,2025,6238.0,Petrol,Manual,9,10,28532
326,Toyota,Model C,2025,0.0,Petrol,Manual,12,30,20948
327,Hyundai,Model A,2023,12734.0,Petrol,Automatic,7,01,20806
328,Hyundai,Model C,2023,37431.0,Diesel,Automatic,3,01,20075
329,Honda,Model C,2021,60558.0,Petrol,Automatic,12,20,11454
330,Audi,Model C,2018,94856.0,Hybrid,Automatic,6,01,9835
331,Ford,Model A,2020,52283.0,Petrol,Manual,6,30,10512
332,Audi,Model B,2025,13657.0,Petrol,Automatic,7,10,27293
333,Audi,Model B,2001,250000.0,Diesel,Automatic,4,20,500
334,Hyundai,Model B,2011,184160.0,Diesel,Automatic,10,10,1163
335,Mercedes,Model A,2004,248086.0,Petrol,Manual,9,10,2586
336,BMW,Model B,2004,250000.0,Petrol,Automatic,12,20,2244
337,Toyota,Model A,2025,0.0,Petrol,Automatic,3,10,28593
338,Honda,Model B,2025,26451.0,Petrol,Manual,8,30,20251
339,VW,Model C,2022,30578.0,Petrol,Manual,7,20,19299
340,Hyundai,Model C,2009,186307.0,Petrol,Manual,12,30,500
341,VW,Model C,2022,38922.0,Petrol,Automatic,1,10,16310
342,Ford,Model A,2022,25543.0,Petrol,Manual,10,30,14471
343,VW,Model C,2015,35674.0,Petrol,Automatic,8,30,6433
344,Audi,Model C,2021,36935.0,Diesel,Automatic,8,30,19165
345,Toyota,Model B,2021,37484.0,Diesel,Automatic,11,10,13602
346,Ford,Model A,2023,31303.0,Petrol,Automatic,8,01,14217
347,BMW,Model B,2024,0.0,Petrol,Automatic,9,01,26432
348,Toyota,Model C,2004,240477.0,Petrol,Manual,9,10,500
349,Toyota,Model C,2020,39408.0,Petrol,Automatic,1,20,14981
350,Honda,Model B,2024,4441.0,Petrol,Manual,2,30,23106
351,Honda,Model A,2022,55674.0,Diesel,Manual,5,01,12552
352,VW,Model A,2025,0.0,Petrol,Manual,9,01,20481
353,Honda,Model B,2024,1025.0,Petrol,Manual,1,01,20831
354,Fiat,Model B,2015,122908.0,Petrol,Manual,10,01,1395
355,Toyota,Model A,2007,210438.0,Petrol,Manual,3,30,521
356,Honda,Model C,2024,45422.0,Petrol,Manual,7,10,22555
357,BMW,Model C,2002,250000.0,Hybrid,Automatic,3,30,1080
358,Toyota,Model A,2023,29028.0,Petrol,Automatic,3,01,20467
359,Fiat,Model B,2025,14156.0,Petrol,Automatic,5,30,20576
360,Toyota,Model C,2023,37868.0,Petrol,Manual,12,20,15591
361,Audi,Model A,2021,51499.0,Petrol,Automatic,3,20,16460
362,Honda,Model C,2024,9583.0,Petrol,Automatic,1,30,26736
363,BMW,Model B,2021,,Petrol,Automatic,12,30,16139
364,Honda,Model C,2023,22503.0,Petrol,Manual,6,30,16332
365,Toyota,Model A,2025,0.0,Diesel,Manual,8,10,18797
366,Toyota,Model B,2021,,Hybrid,Manual,12,30,10244
367,Hyundai,Model A,2025,0.0,Petrol,Manual,10,30,18420
368,VW,Model A,2025,12324.0,Petrol,Automatic,10,30,23266
369,Honda,Model C,2016,,Diesel,Automatic,7,10,2476
370,Ford,Model A,2006,227914.0,Petrol,Automatic,9,10,2165
371,Hyundai,Model A,2010,176927.0,Hybrid,Automatic,12,20,500
372,VW,Model C,2001,250000.0,Petrol,Automatic,12,01,500
373,Mercedes,Model C,2009,164525.0,Petrol,Manual,8,10,500
374,Toyota,Model C,2024,0.0,Petrol,Automatic,2,30,21322
375,Toyota,Model B,2007,213958.0,Petrol,Automatic,12,10,500
376,Mercedes,Model C,2020,57037.0,Petrol,Manual,3,20,11978
377,BMW,Model C,2025,0.0,Petrol,Automatic,5,10,36021
378,Mercedes,Model B,2002,250000.0,Petrol,Automatic,2,20,777
379,Hyundai,Model B,2025,0.0,Diesel,Automatic,3,20,23605
380,Honda,Model C,2019,77357.0,Petrol,Automatic,10,20,11473
381,Toyota,Model C,2011,133177.0,Petrol,Manual,2,01,1132
382,Ford,Model C,2024,3484.0,Hybrid,Automatic,3,30,26639
383,VW,Model A,2024,2994.0,Petrol,Manual,3,10,22294
384,Toyota,Model C,2025,15244.0,Petrol,Manual,5,10,16574
385,Honda,Model C,2025,26329.0,Diesel,Automatic,9,01,20489
386,BMW,Model C,2025,0.0,Petrol,Automatic,9,01,31813
387,Ford,Model B,2019,92860.0,Diesel,Manual,10,30,9193
388,Toyota,Model A,2015,115258.0,Petrol,Automatic,10,01,500
389,Honda,Model C,2025,0.0,Petrol,Automatic,1,01,26813
390,Toyota,Model C,2025,26188.0,Diesel,Manual,9,30,18884
391,Ford,Model C,2025,7811.0,Petrol,Automatic,9,20,25245
392,Ford,Model B,2021,48066.0,Petrol,Manual,1,10,18381
393,Toyota,Model C,2020,70307.0,Petrol,Automatic,6,01,12165
394,BMW,Model C,2025,4113.0,Petrol,Automatic,1,10,34497
395,Ford,Model B,2020,58961.0,Petrol,Manual,3,01,8007
396,Fiat,Model B,2025,0.0,Petrol,Automatic,7,10,24758
397,Hyundai,Model B,2025,0.0,Petrol,Automatic,1,01,29432
398,Dacia,Model B,2021,57348.0,Petrol,Manual,2,10,10542
399,Mercedes,Model B,2025,0.0,Petrol,Automatic,2,01,30242
