car_id,brand,model,year,mileage,fuel_type,transmission,sale_month,zip_prefix,price,age,area_type,miles_per_year,suspicious_mileage,area
32,Fiat,Model B,2015,118595.0,Petrol,Manual,12,30,6154,10,Rural,11742.079207920793,False,Rural
34,Ford,Model A,2025,261.0,Petrol,Manual,10,20,27741,0,Rural,2610.0,False,Rural
35,Honda,Model A,2025,7283.0,Petrol,Automatic,9,30,29160,0,Rural,72830.0,False,Rural
36,Honda,Model B,2025,0.0,Petrol,Automatic,2,1,27700,0,Rural,0.0,False,Rural
37,Mercedes,Model A,2020,82315.0,Petrol,Automatic,3,30,8875,5,Rural,16140.196078431374,False,Rural
38,Ford,Model A,2009,200425.0,Petrol,Manual,5,30,6531,16,Rural,12448.757763975154,False,Rural
39,BMW,Model C,2024,27715.0,Petrol,Automatic,12,30,31349,1,Rural,25195.454545454544,False,Rural
40,Dacia,Model B,2021,53477.0,Petrol,Automatic,9,1,10110,4,Rural,13043.170731707318,False,Rural
42,BMW,Model B,2022,22904.0,Petrol,Automatic,7,30,22407,3,Rural,7388.387096774193,False,Rural
44,Hyundai,Model B,2025,20197.0,Petrol,Automatic,3,1,25319,0,Rural,201970.0,False,Rural
45,Audi,Model B,2018,107396.0,Petrol,Manual,5,20,9429,7,Rural,15126.197183098593,False,Rural
46,Honda,Model B,2024,0.0,Diesel,Automatic,5,1,18290,1,Rural,0.0,False,Rural
47,BMW,Model A,2020,63746.0,Diesel,Automatic,12,30,12356,5,Rural,12499.21568627451,False,Rural
48,BMW,Model C,2022,29535.0,Petrol,Manual,10,20,18948,3,Rural,9527.41935483871,False,Rural
49,Ford,Model A,2023,13544.0,Diesel,Automatic,8,10,21042,2,Rural,6449.523809523809,False,Rural
50,Mercedes,Model B,2016,112272.0,Petrol,Automatic,4,1,5362,9,Rural,12337.582417582418,False,Rural
51,VW,Model C,2025,17114.0,Petrol,Automatic,3,30,22442,0,Rural,171140.0,False,Rural
52,Hyundai,Model A,2025,6774.0,Petrol,Manual,5,30,26351,0,Rural,67740.0,False,Rural
53,Fiat,Model C,2025,0.0,Petrol,Manual,12,20,16181,0,Rural,0.0,False,Rural
54,Mercedes,Model B,2025,7722.0,Petrol,Automatic,12,30,26425,0,Rural,77220.0,False,Rural
55,Honda,Model C,2023,18600.0,Petrol,Automatic,6,20,23324,2,Rural,8857.142857142857,False,Rural
56,Dacia,Model B,2025,6181.0,Petrol,Automatic,5,1,23956,0,Rural,61810.0,False,Rural
58,Mercedes,Model B,2016,76842.0,Petrol,Automatic,6,20,8164,9,Rural,8444.175824175825,False,Rural
60,Fiat,Model C,2020,36914.0,Hybrid,Automatic,5,30,7723,5,Rural,7238.039215686275,False,Rural
61,Honda,Model A,2021,66424.0,Petrol,Manual,8,1,10304,4,Rural,16200.975609756098,False,Rural
62,Hyundai,Model B,2019,62444.0,Petrol,Automatic,12,1,8909,6,Rural,10236.72131147541,False,Rural
63,Honda,Model B,2025,0.0,Diesel,Manual,6,30,25389,0,Rural,0.0,False,Rural
64,Mercedes,Model B,2020,70429.0,Petrol,Automatic,4,30,12182,5,Rural,13809.607843137255,False,Rural
65,Mercedes,Model A,2019,77462.0,Petrol,Manual,5,10,8143,6,Rural,12698.688524590165,False,Rural
66,BMW,Model B,2023,9012.0,Petrol,Manual,1,20,21992,2,Rural,4291.428571428572,False,Rural
67,Mercedes,Model A,2014,113205.0,Diesel,Manual,12,30,4520,11,Rural,10198.648648648648,False,Rural
68,Fiat,Model B,2025,0.0,Diesel,Automatic,1,1,18814,0,Rural,0.0,False,Rural
70,VW,Model C,2025,0.0,Petrol,Manual,8,1,25092,0,Rural,0.0,False,Rural
71,Ford,Model B,2025,1734.0,Petrol,Manual,2,20,27046,0,Rural,17340.0,False,Rural
72,Toyota,Model B,2016,93511.0,Petrol,Automatic,4,20,8053,9,Rural,10275.934065934067,False,Rural
75,Honda,Model A,2025,0.0,Hybrid,Manual,5,1,23686,0,Rural,0.0,False,Rural
76,Honda,Model B,2025,1952.0,Petrol,Manual,12,20,22797,0,Rural,19520.0,False,Rural
77,Dacia,Model A,2025,30271.0,Hybrid,Manual,6,30,14741,0,Rural,302710.0,False,Rural
79,Fiat,Model B,2020,77868.0,Diesel,Automatic,6,30,8977,5,Rural,15268.235294117649,False,Rural
81,Audi,Model A,2025,12814.0,Petrol,Automatic,12,30,28206,0,Rural,128140.0,False,Rural
82,BMW,Model C,2024,31376.0,Petrol,Automatic,9,30,21818,1,Rural,28523.63636363636,False,Rural
83,Dacia,Model A,2020,64208.0,Petrol,Automatic,2,1,9691,5,Rural,12589.803921568628,False,Rural
84,Toyota,Model C,2006,219256.0,Diesel,Automatic,8,30,3740,19,Rural,11479.37172774869,False,Rural
85,BMW,Model A,2020,76418.0,Diesel,Manual,3,20,13906,5,Rural,14983.921568627453,False,Rural
86,Honda,Model C,2020,76992.0,Petrol,Automatic,4,1,7742,5,Rural,15096.470588235296,False,Rural
87,Ford,Model B,2025,16579.0,Diesel,Automatic,11,10,26763,0,Rural,165790.0,False,Rural
88,Hyundai,Model A,2024,12667.0,Petrol,Automatic,9,1,19047,1,Rural,11515.454545454544,False,Rural
89,Dacia,Model B,2025,0.0,Diesel,Manual,4,20,15391,0,Rural,0.0,False,Rural
90,Fiat,Model C,2022,11661.0,Petrol,Automatic,1,1,14711,3,Rural,3761.6129032258063,False,Rural
91,Dacia,Model B,2011,182133.0,Petrol,Manual,7,20,2885,14,Rural,12917.234042553191,False,Rural
92,BMW,Model B,2025,15365.0,Hybrid,Automatic,4,20,30343,0,Rural,153650.0,False,Rural
93,VW,Model C,2025,0.0,Petrol,Automatic,1,30,29366,0,Rural,0.0,False,Rural
94,Audi,Model C,2023,28730.0,Diesel,Automatic,1,10,26492,2,Rural,13680.95238095238,False,Rural
95,Mercedes,Model A,2025,0.0,Petrol,Manual,9,10,27259,0,Rural,0.0,False,Rural
96,Hyundai,Model C,2022,50774.0,Hybrid,Automatic,6,30,22691,3,Rural,16378.709677419354,False,Rural
97,Toyota,Model C,2022,24250.0,Petrol,Manual,4,20,21213,3,Rural,7822.58064516129,False,Rural
98,Fiat,Model C,2021,59778.0,Petrol,Manual,11,30,10017,4,Rural,14580.000000000002,False,Rural
100,Hyundai,Model B,2010,195471.0,Petrol,Manual,6,20,6605,15,Rural,12945.099337748345,False,Rural
101,Mercedes,Model B,2003,250000.0,Petrol,Automatic,4,30,713,22,Rural,11312.217194570136,False,Rural
102,Mercedes,Model C,2024,279.0,Petrol,Automatic,7,1,25562,1,Rural,253.63636363636363,False,Rural
103,Honda,Model B,2020,70370.0,Diesel,Automatic,10,20,11358,5,Rural,13798.039215686276,False,Rural
104,Toyota,Model A,2022,27144.0,Petrol,Manual,1,20,18745,3,Rural,8756.129032258064,False,Rural
105,Honda,Model B,2025,11243.0,Petrol,Automatic,8,20,29366,0,Rural,112430.0,False,Rural
106,Dacia,Model C,2018,79888.0,Hybrid,Automatic,9,1,7095,7,Rural,11251.830985915494,False,Rural
107,VW,Model C,2021,22184.0,Diesel,Automatic,11,20,15902,4,Rural,5410.731707317073,False,Rural
108,Toyota,Model B,2025,0.0,Petrol,Automatic,3,20,27860,0,Rural,0.0,False,Rural
109,Mercedes,Model A,2017,89543.0,Petrol,Manual,3,10,4066,8,Rural,11054.691358024691,False,Rural
110,Toyota,Model A,2007,236522.0,Petrol,Automatic,3,30,3707,18,Rural,13067.513812154695,False,Rural
111,Honda,Model C,2019,85517.0,Petrol,Manual,12,10,6320,6,Rural,14019.180327868853,False,Rural
112,Ford,Model A,2015,144357.0,Petrol,Manual,2,20,1896,10,Rural,14292.772277227723,False,Rural
113,Audi,Model C,2025,24804.0,Diesel,Manual,10,20,26415,0,Rural,248040.0,False,Rural
114,Hyundai,Model C,2025,0.0,Petrol,Automatic,12,30,22870,0,Rural,0.0,False,Rural
115,BMW,Model A,2024,9172.0,Petrol,Automatic,12,20,27007,1,Rural,8338.181818181818,False,Rural
116,Ford,Model C,2025,0.0,Petrol,Automatic,6,1,28206,0,Rural,0.0,False,Rural
117,Ford,Model B,2025,0.0,Petrol,Automatic,11,1,21914,0,Rural,0.0,False,Rural
118,Audi,Model B,2016,80377.0,Diesel,Automatic,9,1,5612,9,Rural,8832.637362637362,False,Rural
120,Ford,Model B,2022,16716.0,Petrol,Manual,3,1,17023,3,Rural,5392.258064516129,False,Rural
121,Ford,Model B,2025,0.0,Petrol,Automatic,10,1,21319,0,Rural,0.0,False,Rural
122,Honda,Model B,2025,31736.0,Petrol,Automatic,8,30,23179,0,Rural,317360.0,False,Rural
123,Fiat,Model B,2020,52359.0,Petrol,Manual,7,1,4164,5,Rural,10266.470588235296,False,Rural
126,Audi,Model B,2021,52204.0,Petrol,Automatic,1,30,15922,4,Rural,12732.68292682927,False,Rural
127,BMW,Model A,2025,4387.0,Hybrid,Automatic,7,30,29033,0,Rural,43870.0,False,Rural
128,Mercedes,Model A,2025,0.0,Petrol,Automatic,4,30,32057,0,Rural,0.0,False,Rural
130,Toyota,Model C,2022,21599.0,Petrol,Automatic,12,30,18071,3,Rural,6967.419354838709,False,Rural
131,Fiat,Model A,2021,60690.0,Diesel,Automatic,3,1,8581,4,Rural,14802.439024390245,False,Rural
132,Mercedes,Model B,2017,69877.0,Petrol,Automatic,3,20,12104,8,Rural,8626.79012345679,False,Rural
133,Toyota,Model A,2011,182566.0,Petrol,Manual,5,30,2355,14,Rural,12947.943262411347,False,Rural
134,Dacia,Model C,2020,38944.0,Petrol,Automatic,7,30,10337,5,Rural,7636.07843137255,False,Rural
135,BMW,Model A,2025,14439.0,Petrol,Automatic,11,20,30345,0,Rural,144390.0,False,Rural
136,Ford,Model A,2020,54692.0,Petrol,Manual,3,20,13691,5,Rural,10723.921568627451,False,Rural
137,Fiat,Model B,2022,17521.0,Petrol,Manual,8,10,11135,3,Rural,5651.935483870968,False,Rural
138,Dacia,Model A,2025,8689.0,Diesel,Automatic,5,1,16322,0,Rural,86890.0,False,Rural
139,Hyundai,Model B,2020,73931.0,Petrol,Manual,10,30,9748,5,Rural,14496.274509803923,False,Rural
140,Fiat,Model C,2025,0.0,Diesel,Manual,8,20,24179,0,Rural,0.0,False,Rural
141,VW,Model A,2025,3242.0,Diesel,Automatic,10,30,27572,0,Rural,32420.0,False,Rural
142,Audi,Model C,2018,49723.0,Petrol,Manual,11,1,9488,7,Rural,7003.239436619719,False,Rural
143,VW,Model C,2022,16191.0,Petrol,Automatic,12,1,16125,3,Rural,5222.903225806452,False,Rural
144,Dacia,Model C,2020,79386.0,Petrol,Manual,12,1,9476,5,Rural,15565.882352941178,False,Rural
145,Honda,Model B,2019,68644.0,Petrol,Automatic,8,30,10905,6,Rural,11253.114754098362,False,Rural
146,Audi,Model A,2003,236066.0,Petrol,Automatic,8,1,2069,22,Rural,10681.719457013574,False,Rural
147,Ford,Model C,2023,13517.0,Diesel,Manual,2,30,16853,2,Rural,6436.666666666666,False,Rural
148,VW,Model C,2022,22148.0,Petrol,Automatic,2,10,16364,3,Rural,7144.516129032258,False,Rural
150,VW,Model C,2019,66438.0,Petrol,Manual,9,20,8179,6,Rural,10891.475409836066,False,Rural
151,Ford,Model B,2025,2683.0,Hybrid,Automatic,4,1,22536,0,Rural,26830.0,False,Rural
152,Ford,Model C,2017,94958.0,Petrol,Manual,5,20,4685,8,Rural,11723.209876543211,False,Rural
153,Toyota,Model A,2014,152396.0,Diesel,Automatic,9,30,1770,11,Rural,13729.36936936937,False,Rural
154,Mercedes,Model A,2022,42368.0,Petrol,Manual,3,1,13793,3,Rural,13667.096774193547,False,Rural
155,Ford,Model A,2025,6865.0,Petrol,Automatic,7,30,24223,0,Rural,68650.0,False,Rural
156,Ford,Model C,2018,101477.0,Hybrid,Automatic,7,1,6447,7,Rural,14292.535211267606,False,Rural
157,Toyota,Model A,2024,6168.0,Petrol,Automatic,12,20,21700,1,Rural,5607.272727272727,False,Rural
158,Toyota,Model C,2025,0.0,Petrol,Manual,6,20,26302,0,Rural,0.0,False,Rural
159,Toyota,Model B,2017,114104.0,Petrol,Automatic,3,10,5409,8,Rural,14086.913580246914,False,Rural
160,Honda,Model C,2025,2037.0,Diesel,Automatic,3,1,21730,0,Rural,20370.0,False,Rural
161,Dacia,Model B,2020,62090.0,Petrol,Automatic,4,30,5474,5,Rural,12174.50980392157,False,Rural
162,Hyundai,Model A,2024,2500.0,Petrol,Automatic,4,20,22536,1,Rural,2272.7272727272725,False,Rural
163,Fiat,Model B,2024,2747.0,Diesel,Automatic,10,20,17864,1,Rural,2497.272727272727,False,Rural
164,Honda,Model C,2022,48700.0,Petrol,Manual,8,20,15167,3,Rural,15709.677419354839,False,Rural
167,VW,Model A,2020,71894.0,Petrol,Manual,7,30,12374,5,Rural,14096.86274509804,False,Rural
168,Toyota,Model B,2016,116535.0,Petrol,Manual,12,30,7721,9,Rural,12806.043956043957,False,Rural
170,Toyota,Model B,2023,6410.0,Petrol,Manual,3,30,17136,2,Rural,3052.3809523809523,False,Rural
171,Mercedes,Model C,2024,30154.0,Petrol,Automatic,6,20,28877,1,Rural,27412.727272727272,False,Rural
172,Mercedes,Model C,2001,250000.0,Petrol,Manual,4,1,1013,24,Rural,10373.443983402489,False,Rural
173,Hyundai,Model B,2022,41549.0,Hybrid,Automatic,10,30,13491,3,Rural,13402.90322580645,False,Rural
174,Audi,Model C,2017,83939.0,Petrol,Manual,5,10,4554,8,Rural,10362.83950617284,False,Rural
175,Audi,Model C,2024,2110.0,Petrol,Automatic,9,30,20668,1,Rural,1918.181818181818,False,Rural
176,Fiat,Model B,2015,116457.0,Hybrid,Automatic,4,30,3733,10,Rural,11530.39603960396,False,Rural
177,VW,Model A,2024,0.0,Diesel,Manual,3,10,21723,1,Rural,0.0,False,Rural
178,Mercedes,Model C,2021,59967.0,Diesel,Manual,1,1,15392,4,Rural,14626.097560975611,False,Rural
179,Mercedes,Model A,2025,0.0,Petrol,Manual,12,10,27219,0,Rural,0.0,False,Rural
180,Audi,Model B,2013,145488.0,Petrol,Automatic,3,20,7008,12,Rural,12023.801652892562,False,Rural
181,Ford,Model A,2020,61987.0,Petrol,Automatic,11,1,6328,5,Rural,12154.313725490198,False,Rural
183,Audi,Model A,2025,0.0,Petrol,Automatic,3,1,30169,0,Rural,0.0,False,Rural
184,Fiat,Model C,2025,3835.0,Petrol,Manual,6,30,21821,0,Rural,38350.0,False,Rural
185,Mercedes,Model A,2018,90430.0,Petrol,Automatic,11,1,5921,7,Rural,12736.61971830986,False,Rural
186,Audi,Model C,2024,8935.0,Diesel,Automatic,9,1,26371,1,Rural,8122.727272727272,False,Rural
187,Dacia,Model C,2025,10153.0,Diesel,Manual,5,10,17656,0,Rural,101530.0,False,Rural
188,Mercedes,Model C,2023,22360.0,Petrol,Manual,12,10,18094,2,Rural,10647.619047619048,False,Rural
189,Fiat,Model C,2022,36204.0,Petrol,Manual,5,1,11555,3,Rural,11678.709677419354,False,Rural
190,VW,Model B,2018,87774.0,Diesel,Automatic,3,1,6220,7,Rural,12362.535211267606,False,Rural
192,Honda,Model C,2025,0.0,Petrol,Manual,9,30,26110,0,Rural,0.0,False,Rural
193,Honda,Model C,2025,0.0,Hybrid,Manual,1,30,23064,0,Rural,0.0,False,Rural
194,Dacia,Model C,2024,1966.0,Petrol,Manual,11,30,14456,1,Rural,1787.272727272727,False,Rural
195,Toyota,Model A,2020,55017.0,Petrol,Manual,4,20,8780,5,Rural,10787.64705882353,False,Rural
196,Honda,Model B,2020,81393.0,Diesel,Automatic,5,30,17260,5,Rural,15959.411764705883,False,Rural
197,Mercedes,Model A,2025,8590.0,Petrol,Automatic,11,20,34665,0,Rural,85900.0,False,Rural
198,Ford,Model C,2025,0.0,Petrol,Manual,11,1,26710,0,Rural,0.0,False,Rural
199,Audi,Model A,2025,0.0,Hybrid,Manual,6,10,29545,0,Rural,0.0,False,Rural
200,BMW,Model A,2025,5591.0,Petrol,Automatic,7,20,31472,0,Rural,55910.0,False,Rural
201,Dacia,Model A,2024,0.0,Petrol,Manual,9,20,14890,1,Rural,0.0,False,Rural
203,Mercedes,Model C,2015,140174.0,Petrol,Automatic,7,30,1030,10,Rural,13878.613861386139,False,Rural
204,VW,Model B,2025,0.0,Petrol,Automatic,11,30,20929,0,Rural,0.0,False,Rural
205,Hyundai,Model B,2023,38320.0,Petrol,Manual,11,10,11399,2,Rural,18247.619047619046,False,Rural
207,Mercedes,Model C,2010,168998.0,Diesel,Automatic,4,20,1481,15,Rural,11191.920529801324,False,Rural
208,BMW,Model C,2024,0.0,Diesel,Manual,4,1,22724,1,Rural,0.0,False,Rural
209,BMW,Model C,2000,250000.0,Petrol,Manual,2,30,3676,25,Rural,9960.1593625498,False,Rural
210,VW,Model C,2015,103670.0,Petrol,Automatic,11,1,5125,10,Rural,10264.356435643565,False,Rural
211,Ford,Model B,2023,25815.0,Petrol,Manual,1,1,15895,2,Rural,12292.857142857143,False,Rural
212,VW,Model C,2024,8915.0,Petrol,Automatic,2,30,21353,1,Rural,8104.545454545454,False,Rural
213,Honda,Model C,2024,17408.0,Petrol,Automatic,12,1,18363,1,Rural,15825.454545454544,False,Rural
214,Hyundai,Model B,2017,116954.0,Petrol,Manual,2,20,4238,8,Rural,14438.765432098766,False,Rural
215,Honda,Model C,2025,12262.0,Diesel,Manual,2,1,17329,0,Rural,122620.0,False,Rural
216,Fiat,Model C,2017,103338.0,Petrol,Automatic,12,1,2637,8,Rural,12757.77777777778,False,Rural
217,Honda,Model A,2020,30509.0,Diesel,Automatic,4,1,7811,5,Rural,5982.156862745099,False,Rural
218,Hyundai,Model C,2025,6650.0,Petrol,Manual,12,1,24492,0,Rural,66500.0,False,Rural
219,Toyota,Model A,2024,37839.0,Diesel,Manual,5,30,17016,1,Rural,34399.090909090904,False,Rural
220,Honda,Model B,2025,0.0,Diesel,Automatic,5,1,24485,0,Rural,0.0,False,Rural
221,Hyundai,Model A,2024,22340.0,Petrol,Automatic,2,20,24673,1,Rural,20309.090909090908,False,Rural
222,Mercedes,Model B,2023,21609.0,Petrol,Automatic,12,1,18475,2,Rural,10290.0,False,Rural
223,Ford,Model C,2009,179253.0,Petrol,Automatic,10,30,989,16,Rural,11133.726708074533,False,Rural
224,VW,Model A,2020,72016.0,Petrol,Automatic,3,1,12546,5,Rural,14120.784313725491,False,Rural
225,Hyundai,Model A,2018,109645.0,Petrol,Automatic,10,20,3551,7,Rural,15442.957746478874,False,Rural
226,Ford,Model A,2018,95628.0,Petrol,Automatic,2,1,8847,7,Rural,13468.732394366198,False,Rural
227,Honda,Model B,2025,0.0,Petrol,Automatic,7,30,28924,0,Rural,0.0,False,Rural
228,Audi,Model A,2021,33847.0,Petrol,Automatic,4,30,15188,4,Rural,8255.365853658537,False,Rural
229,Fiat,Model C,2025,2169.0,Petrol,Automatic,11,1,20674,0,Rural,21690.0,False,Rural
230,Toyota,Model C,2024,25097.0,Hybrid,Manual,7,10,21981,1,Rural,22815.454545454544,False,Rural
232,BMW,Model C,2022,31644.0,Petrol,Manual,8,1,18206,3,Rural,10207.741935483871,False,Rural
233,Audi,Model B,2023,66330.0,Petrol,Manual,7,1,18535,2,Rural,31585.714285714283,False,Rural
234,Toyota,Model A,2022,52179.0,Petrol,Automatic,9,1,22877,3,Rural,16831.935483870966,False,Rural
235,VW,Model A,2016,125251.0,Petrol,Automatic,10,1,1241,9,Rural,13763.846153846154,False,Rural
236,Toyota,Model C,2025,0.0,Petrol,Manual,1,30,26075,0,Rural,0.0,False,Rural
237,BMW,Model B,2019,61392.0,Petrol,Automatic,7,1,7193,6,Rural,10064.262295081968,False,Rural
239,Audi,Model A,2024,0.0,Petrol,Manual,6,10,19661,1,Rural,0.0,False,Rural
240,Mercedes,Model C,2015,144005.0,Petrol,Automatic,1,10,5923,10,Rural,14257.920792079209,False,Rural
241,Audi,Model B,2025,21154.0,Petrol,Manual,1,1,26715,0,Rural,211540.0,False,Rural
242,Hyundai,Model B,2025,0.0,Petrol,Manual,10,20,18512,0,Rural,0.0,False,Rural
243,Toyota,Model C,2025,26758.0,Petrol,Automatic,3,1,24266,0,Rural,267580.0,False,Rural
244,Toyota,Model C,2020,59936.0,Petrol,Automatic,3,30,9100,5,Rural,11752.1568627451,False,Rural
245,Dacia,Model B,2001,250000.0,Petrol,Automatic,4,1,697,24,Rural,10373.443983402489,False,Rural
246,Honda,Model B,2025,2170.0,Petrol,Manual,2,20,21469,0,Rural,21700.0,False,Rural
247,Fiat,Model B,2021,56642.0,Petrol,Automatic,1,30,11244,4,Rural,13815.121951219513,False,Rural
248,Toyota,Model A,2025,20998.0,Diesel,Automatic,11,30,30173,0,Rural,209980.0,False,Rural
249,Toyota,Model C,2025,19164.0,Petrol,Automatic,4,10,26452,0,Rural,191640.0,False,Rural
250,Toyota,Model B,2025,7660.0,Hybrid,Automatic,8,10,25138,0,Rural,76600.0,False,Rural
251,Honda,Model B,2019,69882.0,Petrol,Automatic,11,20,11175,6,Rural,11456.065573770493,False,Rural
252,Ford,Model B,2021,55711.0,Petrol,Automatic,12,10,10641,4,Rural,13588.048780487807,False,Rural
253,Audi,Model C,2025,0.0,Petrol,Automatic,9,10,28849,0,Rural,0.0,False,Rural
254,Hyundai,Model A,2020,62282.0,Petrol,Manual,12,20,5418,5,Rural,12212.1568627451,False,Rural
255,Honda,Model A,2015,103360.0,Petrol,Manual,6,10,4010,10,Rural,10233.663366336634,False,Rural
256,BMW,Model C,2023,0.0,Hybrid,Manual,10,20,20133,2,Rural,0.0,False,Rural
257,Ford,Model A,2025,756.0,Petrol,Automatic,12,10,26224,0,Rural,7560.0,False,Rural
258,Hyundai,Model B,2024,30934.0,Petrol,Automatic,1,10,17513,1,Rural,28121.81818181818,False,Rural
259,Audi,Model B,2023,37887.0,Diesel,Manual,4,20,21095,2,Rural,18041.428571428572,False,Rural
261,Hyundai,Model A,2023,50204.0,Petrol,Automatic,4,10,17445,2,Rural,23906.666666666664,False,Rural
262,Dacia,Model A,2025,0.0,Petrol,Automatic,1,30,24312,0,Rural,0.0,False,Rural
264,Dacia,Model C,2022,3268.0,Petrol,Automatic,3,20,14826,3,Rural,1054.1935483870968,False,Rural
265,Toyota,Model B,2025,0.0,Petrol,Automatic,5,20,23700,0,Rural,0.0,False,Rural
266,Dacia,Model C,2025,12249.0,Hybrid,Automatic,12,10,26660,0,Rural,122490.0,False,Rural
267,Ford,Model C,2024,743.0,Diesel,Manual,3,20,25871,1,Rural,675.4545454545454,False,Rural
268,Fiat,Model A,2025,6914.0,Petrol,Automatic,12,20,20887,0,Rural,69140.0,False,Rural
269,Hyundai,Model B,2020,84694.0,Petrol,Manual,6,30,9903,5,Rural,16606.666666666668,False,Rural
270,BMW,Model C,2019,55498.0,Diesel,Manual,12,1,10213,6,Rural,9098.032786885247,False,Rural
271,BMW,Model C,2025,7177.0,Petrol,Manual,11,30,24099,0,Rural,71770.0,False,Rural
272,Honda,Model A,2025,8084.0,Petrol,Manual,6,30,26897,0,Rural,80840.0,False,Rural
273,Mercedes,Model B,2025,0.0,Hybrid,Automatic,12,1,30446,0,Rural,0.0,False,Rural
274,Honda,Model A,2025,20313.0,Petrol,Manual,8,30,18172,0,Rural,203130.0,False,Rural
275,Dacia,Model A,2022,31684.0,Diesel,Manual,6,10,8723,3,Rural,10220.645161290322,False,Rural
276,Toyota,Model B,2022,30243.0,Diesel,Automatic,7,10,18295,3,Rural,9755.806451612903,False,Rural
277,Honda,Model C,2025,31674.0,Diesel,Automatic,1,1,25436,0,Rural,316740.0,False,Rural
278,Toyota,Model A,2024,19841.0,Hybrid,Automatic,11,30,29121,1,Rural,18037.272727272724,False,Rural
279,Ford,Model B,2025,13879.0,Petrol,Automatic,4,30,27104,0,Rural,138790.0,False,Rural
281,Audi,Model C,2025,0.0,Diesel,Automatic,9,10,23116,0,Rural,0.0,False,Rural
282,Fiat,Model C,2020,78747.0,Hybrid,Automatic,5,30,12739,5,Rural,15440.588235294119,False,Rural
283,Hyundai,Model A,2020,52471.0,Diesel,Manual,7,30,11127,5,Rural,10288.431372549021,False,Rural
284,Hyundai,Model C,2009,183830.0,Diesel,Automatic,6,30,749,16,Rural,11418.012422360247,False,Rural
285,Hyundai,Model A,2023,19920.0,Petrol,Manual,7,30,16866,2,Rural,9485.714285714284,False,Rural
287,VW,Model B,2022,48332.0,Petrol,Manual,12,1,12768,3,Rural,15590.967741935483,False,Rural
288,Toyota,Model B,2023,28008.0,Petrol,Manual,8,10,18545,2,Rural,13337.142857142857,False,Rural
289,Mercedes,Model A,2019,64631.0,Petrol,Manual,3,1,13580,6,Rural,10595.245901639344,False,Rural
290,Toyota,Model A,2023,34117.0,Petrol,Manual,2,30,17455,2,Rural,16246.190476190475,False,Rural
291,Mercedes,Model A,2003,250000.0,Hybrid,Automatic,7,30,1743,22,Rural,11312.217194570136,False,Rural
293,Toyota,Model A,2025,730.0,Petrol,Automatic,12,30,24609,0,Rural,7300.0,False,Rural
294,Ford,Model B,2020,66951.0,Diesel,Manual,3,1,8115,5,Rural,13127.64705882353,False,Rural
295,Toyota,Model A,2012,161847.0,Petrol,Manual,12,30,4534,13,Rural,12354.732824427481,False,Rural
296,VW,Model B,2022,30551.0,Petrol,Automatic,10,1,22985,3,Rural,9855.16129032258,False,Rural
297,Honda,Model C,2025,12706.0,Petrol,Manual,6,30,24949,0,Rural,127060.0,False,Rural
